date,0x5d22045DAcEAB03B158031eCB7D9d06Fad24609b
2022-10-13,1749.37874642
2022-10-14,1865.39493576
2022-10-15,1909.90532526
2022-10-16,1917.49633528
2022-10-17,1923.44517548
2022-10-18,1940.3946869
2022-10-19,1943.95806185
2022-10-20,2089.94616378
2022-10-21,1977.97941868
2022-10-22,1948.33248218
2022-10-23,1839.98276539
2022-10-24,1840.42364154
2022-10-25,1845.2568016
2022-10-26,1845.28429306
2022-10-27,1851.36117377
2022-10-28,1898.65874463
2022-10-29,1902.57995036
2022-10-30,1902.57995036
2022-10-31,1902.73995036
2022-11-01,1905.24382498
2022-11-02,1910.52877589
2022-11-03,1922.4135135
2022-11-04,1922.40715038
2022-11-05,1923.45638085
2022-11-06,1922.88973254
2022-11-07,1923.13959804
2022-11-08,1923.24153284
2022-11-09,1948.61220202
2022-11-10,1910.13913636
2022-11-11,2057.53913636
